	0	1	2	3	4	5	6	7	8	9
0	[8.338283024827087, 8.338283024827087, 1663.5706592796234, 0.2683333456516266, 0.0]	[8.346640019416503, 8.346640019416503, 1663.568605905402, 0.25, 0.0]	[8.344314236645292, 8.344314236645292, 1663.5723494702643, 0.23250000178813934, 0.0]	[8.340816842166314, 8.340816842166314, 1663.5967161145031, 0.22333332896232605, 0.0]	[8.33738156739515, 8.33738156739515, 1663.490013186922, 0.28333333134651184, 0.0]	[8.344938206158515, 8.344938206158515, 1663.697743667286, 0.2133333384990692, 0.0]	[8.343717222265726, 8.343717222265726, 1663.4880222935549, 0.24250000715255737, 0.0]	[8.341266612961425, 8.341266612961425, 1663.6533695592439, 0.22833333909511566, 0.0]	[8.342736998541225, 8.342736998541225, 1663.6671187415543, 0.2516666650772095, 0.0]	[8.344059533590803, 8.344059533590803, 1663.5624019913614, 0.2383333295583725, 0.0]
100	[3.744606876111117, 3.744606876111117, 700.8819266572198, 0.7391666769981384, 0.0]	[3.726881084156665, 3.726881084156665, 624.7765242513236, 0.7925000190734863, 0.0]	[3.7367289348497663, 3.7367289348497663, 608.2391696022853, 0.7916666865348816, 0.0]	[3.711913856131913, 3.711913856131913, 532.5092977110182, 0.8566666841506958, 0.0]	[3.7215825039896284, 3.7215825039896284, 624.8321552059663, 0.8025000095367432, 0.0]	[3.7024253030996586, 3.7024253030996586, 462.71578247616753, 0.862500011920929, 0.0]	[3.752250905193023, 3.752250905193023, 682.9263105659898, 0.7524999976158142, 0.0]	[3.8095025443303583, 3.8095025443303583, 923.7703060713113, 0.7183333039283752, 0.0]	[3.7343910339997795, 3.7343910339997795, 576.7375016607577, 0.8100000023841858, 0.0]	[3.7427909073543844, 3.7427909073543844, 558.9281380842633, 0.8266666531562805, 0.0]
200	[3.7272569766159642, 3.7272569766159642, 616.1433950555929, 0.7641666531562805, 0.0]	[3.7206423771655417, 3.7206423771655417, 596.9383123528518, 0.8058333396911621, 0.0]	[3.725994794807272, 3.725994794807272, 585.077342147024, 0.809166669845581, 0.0]	[3.6926707111701402, 3.6926707111701402, 440.06348638027237, 0.8774999976158142, 0.0]	[3.7181559143705467, 3.7181559143705467, 591.3020941075665, 0.8166666626930237, 0.0]	[3.6863912405770654, 3.6863912405770654, 424.66697555245105, 0.8666666746139526, 0.0]	[3.72951673434346, 3.72951673434346, 626.0334558034604, 0.7633333206176758, 0.0]	[3.7550878175486693, 3.7550878175486693, 655.3584060470273, 0.7758333086967468, 0.0]	[3.6934259711748627, 3.6934259711748627, 464.7548476197261, 0.8450000286102295, 0.0]	[3.7095451512572604, 3.7095451512572604, 450.01940826636604, 0.8733333349227905, 0.0]
300	[3.7220405311963947, 3.7220405311963947, 602.880419650397, 0.7883333563804626, 0.0]	[3.71874576519512, 3.71874576519512, 584.3974239717334, 0.8199999928474426, 0.0]	[3.7216489530050216, 3.7216489530050216, 579.7660970303759, 0.815833330154419, 0.0]	[3.687362468350806, 3.687362468350806, 415.65364696621674, 0.8683333396911621, 0.0]	[3.716857045135462, 3.716857045135462, 578.4701303677207, 0.8224999904632568, 0.0]	[3.6832938108832933, 3.6832938108832933, 422.2692305148879, 0.8658333420753479, 0.0]	[3.7218062054965735, 3.7218062054965735, 578.3155484531003, 0.8058333396911621, 0.0]	[3.7449792867311755, 3.7449792867311755, 605.5948780763586, 0.7875000238418579, 0.0]	[3.684695053857044, 3.684695053857044, 441.91509285912093, 0.8575000166893005, 0.0]	[3.6956275959330274, 3.6956275959330274, 412.4025274859009, 0.8824999928474426, 0.0]
400	[3.720200080352811, 3.720200080352811, 592.2137903058809, 0.8008333444595337, 0.0]	[3.7176003190572464, 3.7176003190572464, 576.2976357481699, 0.8258333206176758, 0.0]	[3.7196687146669767, 3.7196687146669767, 573.4309049337752, 0.8224999904632568, 0.0]	[3.6847385200124, 3.6847385200124, 412.24435953070304, 0.8691666722297668, 0.0]	[3.716195323833389, 3.716195323833389, 571.5708638696786, 0.8266666531562805, 0.0]	[3.6822360306974793, 3.6822360306974793, 421.2577694010434, 0.862500011920929, 0.0]	[3.719979221062597, 3.719979221062597, 558.1498081765387, 0.8208333253860474, 0.0]	[3.740472325197242, 3.740472325197242, 593.1167230700245, 0.7975000143051147, 0.0]	[3.68288214715909, 3.68288214715909, 434.3459509031393, 0.8608333468437195, 0.0]	[3.691132813710484, 3.691132813710484, 398.4583390658185, 0.8799999952316284, 0.0]
500	[3.7191759009462904, 3.7191759009462904, 586.7061719273618, 0.809166669845581, 0.0]	[3.716596925333237, 3.716596925333237, 570.4718202351322, 0.82833331823349, 0.0]	[3.718751062657911, 3.718751062657911, 567.8872039565805, 0.8274999856948853, 0.0]	[3.6832542985520336, 3.6832542985520336, 413.7948539776433, 0.8650000095367432, 0.0]	[3.7157614065786926, 3.7157614065786926, 567.0828054482402, 0.8291666507720947, 0.0]	[3.6817126832640517, 3.6817126832640517, 419.6444462066128, 0.8633333444595337, 0.0]	[3.718236971732379, 3.718236971732379, 557.1844070026987, 0.82833331823349, 0.0]	[3.7308663845954206, 3.7308663845954206, 591.3347897110102, 0.7941666841506958, 0.0]	[3.682125256872898, 3.682125256872898, 430.2400066392112, 0.8608333468437195, 0.0]	[3.6865907035788217, 3.6865907035788217, 394.4357541334633, 0.8791666626930237, 0.0]
600	[3.7185465435740066, 3.7185465435740066, 581.9411441318825, 0.8100000023841858, 0.0]	[3.716026363949692, 3.716026363949692, 566.2530910484509, 0.82833331823349, 0.0]	[3.7179506559013062, 3.7179506559013062, 563.7126796068945, 0.8291666507720947, 0.0]	[3.6825710321365532, 3.6825710321365532, 414.98822000298145, 0.8658333420753479, 0.0]	[3.7155034006271364, 3.7155034006271364, 563.737741359346, 0.8299999833106995, 0.0]	[3.681293969233671, 3.681293969233671, 418.5827563629707, 0.8658333420753479, 0.0]	[3.7175300437116907, 3.7175300437116907, 554.834160171991, 0.8324999809265137, 0.0]	[3.722364350198997, 3.722364350198997, 586.6412839642484, 0.8116666674613953, 0.0]	[3.681628783106446, 3.681628783106446, 427.2829661456859, 0.8633333444595337, 0.0]	[3.68408183414174, 3.68408183414174, 401.83213946207866, 0.8691666722297668, 0.0]
700	[3.7177887521739295, 3.7177887521739295, 581.0684844987519, 0.8141666650772095, 0.0]	[3.7156713948353692, 3.7156713948353692, 563.0485368901627, 0.8299999833106995, 0.0]	[3.717177905425217, 3.717177905425217, 560.3824422229739, 0.8299999833106995, 0.0]	[3.6821460760002, 3.6821460760002, 416.0159327736038, 0.8650000095367432, 0.0]	[3.7153312107041496, 3.7153312107041496, 561.2851095973011, 0.8316666483879089, 0.0]	[3.68095626085596, 3.68095626085596, 417.8036515281391, 0.8666666746139526, 0.0]	[3.7170167234229816, 3.7170167234229816, 553.235035645352, 0.8333333134651184, 0.0]	[3.7194148174853847, 3.7194148174853847, 579.7941073834725, 0.815833330154419, 0.0]	[3.6813012925962423, 3.6813012925962423, 425.28716038641613, 0.8675000071525574, 0.0]	[3.6825605079651043, 3.6825605079651043, 406.76808895233955, 0.8691666722297668, 0.0]
800	[3.717175946485161, 3.717175946485161, 577.0777357734314, 0.8174999952316284, 0.0]	[3.715472766666627, 3.715472766666627, 560.853697906076, 0.8308333158493042, 0.0]	[3.7166781849069648, 3.7166781849069648, 558.063659317913, 0.8299999833106995, 0.0]	[3.681768189403875, 3.681768189403875, 416.1949664612165, 0.8683333396911621, 0.0]	[3.715229318641922, 3.715229318641922, 559.5637461015308, 0.8299999833106995, 0.0]	[3.6807290471727403, 3.6807290471727403, 417.1148591368502, 0.8683333396911621, 0.0]	[3.716740904791976, 3.716740904791976, 552.8876418781467, 0.8341666460037231, 0.0]	[3.717540666386038, 3.717540666386038, 574.4574607378349, 0.8199999928474426, 0.0]	[3.6811296562179137, 3.6811296562179137, 423.5157604173319, 0.8666666746139526, 0.0]	[3.681556698905671, 3.681556698905671, 412.278281555392, 0.8658333420753479, 0.0]
900	[3.7167650577677676, 3.7167650577677676, 573.4580311846977, 0.8208333253860474, 0.0]	[3.7153414872569486, 3.7153414872569486, 559.1794085149276, 0.8308333158493042, 0.0]	[3.71620994470433, 3.71620994470433, 556.6483435936149, 0.8316666483879089, 0.0]	[3.681431360111888, 3.681431360111888, 416.4919898182002, 0.8683333396911621, 0.0]	[3.715146578549637, 3.715146578549637, 558.1141826323978, 0.8308333158493042, 0.0]	[3.68059833467445, 3.68059833467445, 416.70392769385944, 0.8683333396911621, 0.0]	[3.716278333021103, 3.716278333021103, 552.6656827874724, 0.8366666436195374, 0.0]	[3.7165625231882626, 3.7165625231882626, 570.4941243171668, 0.824999988079071, 0.0]	[3.680900458998328, 3.680900458998328, 421.80267933402456, 0.8666666746139526, 0.0]	[3.681310395134487, 3.681310395134487, 413.97114817683797, 0.8675000071525574, 0.0]
1000	[3.716421647991894, 3.716421647991894, 570.3135279558173, 0.8191666603088379, 0.0]	[3.7152272141073555, 3.7152272141073555, 557.9391676362413, 0.8324999809265137, 0.0]	[3.716044416112596, 3.716044416112596, 555.4244537538889, 0.8316666483879089, 0.0]	[3.681228297495364, 3.681228297495364, 416.50404032877873, 0.8683333396911621, 0.0]	[3.7151056645316114, 3.7151056645316114, 557.0370327230385, 0.8324999809265137, 0.0]	[3.680437534048305, 3.680437534048305, 416.4204432446791, 0.8691666722297668, 0.0]	[3.716126083582804, 3.716126083582804, 552.4504613070657, 0.8366666436195374, 0.0]	[3.716142749406465, 3.716142749406465, 566.7745860219916, 0.82833331823349, 0.0]	[3.6807897259855804, 3.6807897259855804, 420.78686091251944, 0.8675000071525574, 0.0]	[3.681102866432739, 3.681102866432739, 414.32007589782916, 0.8675000071525574, 0.0]
2000	[3.715150480422634, 3.715150480422634, 557.6602538735285, 0.8308333158493042, 0.0]	[3.7150347602314464, 3.7150347602314464, 554.1814585175885, 0.8341666460037231, 0.0]	[3.71512245854009, 3.71512245854009, 553.1384151734364, 0.8366666436195374, 0.0]	[3.680244469682937, 3.680244469682937, 415.27107821139634, 0.8683333396911621, 0.0]	[3.715000506775978, 3.715000506775978, 554.3982800018323, 0.8333333134651184, 0.0]	[3.6799168271297695, 3.6799168271297695, 414.2120956672717, 0.8691666722297668, 0.0]	[3.7151864106088546, 3.7151864106088546, 552.3633895978533, 0.8349999785423279, 0.0]	[3.715144854874782, 3.715144854874782, 555.8922954086933, 0.8333333134651184, 0.0]	[3.6799828216789163, 3.6799828216789163, 414.4580339661985, 0.8691666722297668, 0.0]	[3.680195296812712, 3.680195296812712, 414.5454915988662, 0.8683333396911621, 0.0]
3000	[3.7150232139694457, 3.7150232139694457, 555.5404569389402, 0.8341666460037231, 0.0]	[3.714999515300886, 3.714999515300886, 553.8537442049719, 0.8333333134651184, 0.0]	[3.7150529097693736, 3.7150529097693736, 553.1337162990003, 0.8349999785423279, 0.0]	[3.6799095459402134, 3.6799095459402134, 414.08083883993544, 0.8691666722297668, 0.0]	[3.714987194357199, 3.714987194357199, 554.1204089126077, 0.8333333134651184, 0.0]	[3.679734720354925, 3.679734720354925, 413.22103616328036, 0.8700000047683716, 0.0]	[3.715077725307333, 3.715077725307333, 552.7612767487784, 0.8349999785423279, 0.0]	[3.7150329666819752, 3.7150329666819752, 554.5859890865842, 0.8333333134651184, 0.0]	[3.6797230013096778, 3.6797230013096778, 413.13302843513196, 0.8708333373069763, 0.0]	[3.6797714060237396, 3.6797714060237396, 412.48830127300073, 0.8708333373069763, 0.0]
4000	[3.714996718289673, 3.714996718289673, 554.4115392734359, 0.8324999809265137, 0.0]	[3.714992233909899, 3.714992233909899, 553.827629765137, 0.8333333134651184, 0.0]	[3.7150245466551213, 3.7150245466551213, 553.3622608411395, 0.8349999785423279, 0.0]	[3.679759520396279, 3.679759520396279, 413.148567113422, 0.8700000047683716, 0.0]	[3.7149847086376107, 3.7149847086376107, 554.0617379065844, 0.8333333134651184, 0.0]	[3.6796218561162157, 3.6796218561162157, 412.2704814208619, 0.8708333373069763, 0.0]	[3.7150417908238165, 3.7150417908238165, 553.0589530655099, 0.8349999785423279, 0.0]	[3.7150049871036903, 3.7150049871036903, 554.3003605930721, 0.8324999809265137, 0.0]	[3.6796264235276945, 3.6796264235276945, 412.3583592286335, 0.8700000047683716, 0.0]	[3.679616867901417, 3.679616867901417, 411.85491621520634, 0.8708333373069763, 0.0]
